City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Katsuura,JP,68.04,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
4,Constitucion,CL,51.3,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
7,Port Alfred,ZA,65.64,overcast clouds,-33.5906,26.891,The Halyards Hotel
17,Rikitea,PF,69.22,moderate rain,-23.1203,-134.9692,People ThankYou
20,Adeje,ES,68.02,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
21,Buraydah,SA,63.05,clear sky,26.326,43.975,فندق راحة السلام
24,Asau,RO,55.4,broken clouds,46.4333,26.4,Casa Mika Ciobanus
35,Busselton,AU,65.05,broken clouds,-33.65,115.3333,Observatory Guest House
38,Lompoc,US,69.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
40,Cape Town,ZA,61.27,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Eureka,US,52.63,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
42,East London,ZA,65.34,mist,-33.0153,27.9116,Tu Casa
44,Mataura,NZ,59.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
46,Sungurlu,TR,51.55,clear sky,40.1675,34.3739,Sungurlu Ogretmenevi
48,Kanye,BW,67.87,clear sky,-24.9667,25.3327,The Savanna Lodge
57,Kalaleh,IR,56.8,broken clouds,37.3807,55.4916,عطر و ادکلن پارسیس
60,Qingdao,CN,67.6,clear sky,36.0986,120.3719,东晖国际大酒店餐厅
65,Makueni,KE,64.67,light rain,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
69,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
75,Hermanus,ZA,58.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
76,Cidreira,BR,68.63,broken clouds,-30.1811,-50.2056,Hotel Castelo
77,Bredasdorp,ZA,58.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
83,Asyut,EG,66.56,clear sky,27.181,31.1837,Florence Hotel Assiut
85,Tacuarembo,UY,62.89,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
89,Guerrero Negro,MX,64.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
93,Naron,ES,51.04,broken clouds,43.5167,-8.1528,Marcial
95,Puerto Ayora,EC,68.7,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
103,Sayan,PE,66.87,broken clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
106,Tabas,IR,58.86,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
107,Kruisfontein,ZA,57.25,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
108,Camacha,PT,61.56,light intensity drizzle,33.0833,-16.3333,Hotel Porto Santo & Spa
109,Nayoro,JP,50.67,broken clouds,44.3506,142.4578,名寄 大雪荘
110,Mar Del Plata,AR,57.22,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
116,Rawson,AR,55.96,clear sky,-43.3002,-65.1023,Hosteria Sampedro
118,Shimoda,JP,66.56,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
119,Talkha,EG,65.43,clear sky,31.0539,31.3779,Almadiafah
122,Zarubino,RU,52.9,few clouds,42.63,131.0922,Okean
128,Kalemie,CD,68.14,clear sky,-5.9475,29.1947,Mahobilali
129,Castro,BR,61.84,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
130,Sao Joao Da Barra,BR,69.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
131,Chuy,UY,66.36,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
136,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
137,Silifke,TR,67.17,clear sky,36.3778,33.9344,Ayatekla Hotel
143,Guozhen,CN,61.68,broken clouds,34.3659,107.359,Yucai Hotel
144,Ulladulla,AU,67.1,light rain,-35.35,150.4667,Sandpiper Motel
152,Ahipara,NZ,61.14,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
156,Lakes Entrance,AU,69.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
158,Buwenge,UG,61.79,few clouds,0.6422,33.1744,Gads Kentm
162,Canberra,AU,62.58,broken clouds,-35.2835,149.1281,Novotel Canberra
167,Fortuna,US,52.36,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
168,Trelew,AR,56.86,clear sky,-43.249,-65.3051,Hotel Touring Club
169,Ponta Do Sol,PT,66.7,broken clouds,32.6667,-17.1,Hotel do Campo
172,Faya,SA,55.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
177,Hualmay,PE,63.3,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
185,Javanrud,IR,51.44,clear sky,34.7961,46.5172,Bonnie power
187,Elizabeth City,US,53.65,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
190,Manjacaze,MZ,69.67,overcast clouds,-24.7117,33.8828,Hotel Gani
191,Namibe,AO,65.43,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
198,Malanje,AO,63.23,overcast clouds,-9.5402,16.341,Malanje Hotel
201,Sayyan,YE,53.01,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
208,Nouadhibou,MR,68.59,broken clouds,20.931,-17.0347,El Medina
209,Linqiong,CN,64.22,scattered clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
212,Bluff,NZ,59.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
213,Dunedin,NZ,56.82,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
215,Nara,JP,69.04,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
216,Kaitangata,NZ,55.98,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
223,Houma,US,57.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
