City_ID,City,Lat,Lng,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Hardy,50.6996,-127.4199,48.2,broken clouds,93,75,6.91,CA,2021-11-05 04:15:46
1,Sembe,1.6481,14.5806,69.21,broken clouds,98,73,0.78,CG,2021-11-05 04:19:56
2,Katsuura,35.1333,140.3,68.04,clear sky,53,2,7.18,JP,2021-11-05 04:19:57
3,Vaini,-21.2,-175.2,78.96,broken clouds,100,75,8.05,TO,2021-11-05 04:19:57
4,Constitucion,-35.3333,-72.4167,51.3,clear sky,61,0,9.46,CL,2021-11-05 04:19:58
5,Luderitz,-26.6481,15.1594,58.01,few clouds,74,13,13.0,NA,2021-11-05 04:19:59
6,Provideniya,64.3833,-173.3,11.46,broken clouds,81,51,9.75,RU,2021-11-05 04:19:59
7,Port Alfred,-33.5906,26.891,65.64,overcast clouds,83,97,5.64,ZA,2021-11-05 04:16:14
8,Alvaraes,-3.2208,-64.8042,73.99,overcast clouds,97,90,0.38,BR,2021-11-05 04:20:00
9,Barrow,71.2906,-156.7887,15.82,clear sky,73,1,16.11,US,2021-11-05 04:15:02
10,La Vega,19.2221,-70.5296,75.56,few clouds,96,11,3.36,DO,2021-11-05 04:20:01
11,Atuona,-9.8,-139.0333,78.3,clear sky,66,3,14.27,PF,2021-11-05 04:15:15
12,Usinsk,65.9939,57.5281,32.14,snow,99,100,11.03,RU,2021-11-05 04:20:02
13,Touba,8.2833,-7.6833,71.38,clear sky,82,1,2.19,CI,2021-11-05 04:20:03
14,Longyearbyen,78.2186,15.6401,21.04,broken clouds,73,75,8.05,SJ,2021-11-05 04:20:04
15,Mahebourg,-20.4081,57.7,77.29,few clouds,78,20,5.75,MU,2021-11-05 04:20:05
16,Turukhansk,65.8167,87.9833,22.98,snow,96,100,20.6,RU,2021-11-05 04:20:06
17,Rikitea,-23.1203,-134.9692,69.22,moderate rain,89,100,3.0,PF,2021-11-05 04:20:06
18,Saint-Philippe,-21.3585,55.7679,80.47,clear sky,72,10,3.98,RE,2021-11-05 04:20:07
19,Zheleznogorsk,52.331,35.3711,47.71,overcast clouds,91,100,13.06,RU,2021-11-05 04:20:07
20,Adeje,28.1227,-16.726,68.02,broken clouds,72,75,16.11,ES,2021-11-05 04:20:08
21,Buraydah,26.326,43.975,63.05,clear sky,48,0,8.01,SA,2021-11-05 04:20:08
22,Esso,55.9333,158.7,22.33,scattered clouds,94,42,4.16,RU,2021-11-05 04:18:41
23,Puerto Escondido,15.85,-97.0667,77.81,broken clouds,81,70,4.21,MX,2021-11-05 04:20:09
24,Asau,46.4333,26.4,55.4,broken clouds,60,80,5.06,RO,2021-11-05 04:20:09
25,Vardo,70.3705,31.1107,32.2,overcast clouds,68,91,6.98,NO,2021-11-05 04:20:10
26,Los Algarrobos,8.5,-82.4333,78.46,overcast clouds,95,99,2.1,PA,2021-11-05 04:20:10
27,Myaundzha,63.0494,147.1858,-2.15,broken clouds,98,78,1.81,RU,2021-11-05 04:20:11
28,Nortelandia,-14.4547,-56.8028,73.92,overcast clouds,89,98,3.11,BR,2021-11-05 04:20:11
29,Punta Arenas,-53.15,-70.9167,44.71,clear sky,57,0,27.63,CL,2021-11-05 04:20:12
30,New Norfolk,-42.7826,147.0587,73.89,clear sky,40,0,3.0,AU,2021-11-05 04:16:15
31,Bengkulu,-3.8004,102.2655,77.5,overcast clouds,90,100,7.14,ID,2021-11-05 04:20:13
32,Kapaa,22.0752,-159.319,80.58,light rain,82,90,3.0,US,2021-11-05 04:20:13
33,Kodiak,57.79,-152.4072,36.48,clear sky,71,6,9.48,US,2021-11-05 04:20:13
34,Makurdi,7.7411,8.5121,75.9,light rain,89,87,4.43,NG,2021-11-05 04:20:14
35,Busselton,-33.65,115.3333,65.05,broken clouds,61,82,14.58,AU,2021-11-05 04:20:14
36,Hovd,48.0056,91.6419,12.79,clear sky,34,0,0.96,MN,2021-11-05 04:20:15
37,Juneau,58.3019,-134.4197,43.21,overcast clouds,95,90,3.44,US,2021-11-05 04:19:49
38,Lompoc,34.6391,-120.4579,69.94,clear sky,87,1,5.75,US,2021-11-05 04:20:15
39,Tadine,-21.55,167.8833,72.48,scattered clouds,62,46,15.1,NC,2021-11-05 04:20:16
40,Cape Town,-33.9258,18.4232,61.27,broken clouds,82,75,4.61,ZA,2021-11-05 04:17:43
41,Eureka,40.8021,-124.1637,52.63,overcast clouds,92,85,4.23,US,2021-11-05 04:15:51
42,East London,-33.0153,27.9116,65.34,mist,94,90,3.44,ZA,2021-11-05 04:20:17
43,Narsaq,60.9167,-46.05,30.42,overcast clouds,96,98,5.55,GL,2021-11-05 04:18:38
44,Mataura,-46.1927,168.8643,59.49,overcast clouds,45,100,5.93,NZ,2021-11-05 04:21:17
45,Omsukchan,62.5333,155.8,8.31,clear sky,90,6,3.8,RU,2021-11-05 04:21:18
46,Sungurlu,40.1675,34.3739,51.55,clear sky,75,0,2.24,TR,2021-11-05 04:21:18
47,Mount Gambier,-37.8333,140.7667,75.99,broken clouds,31,84,1.77,AU,2021-11-05 04:21:19
48,Kanye,-24.9667,25.3327,67.87,clear sky,67,4,16.15,BW,2021-11-05 04:21:19
49,Araouane,18.9048,-3.5265,81.21,clear sky,19,8,4.97,ML,2021-11-05 04:21:20
50,Tromso,69.6496,18.957,38.37,broken clouds,81,75,3.44,NO,2021-11-05 04:21:20
51,Georgetown,5.4112,100.3354,87.89,few clouds,74,20,1.01,MY,2021-11-05 04:17:58
52,Taoudenni,22.6783,-3.9836,76.91,few clouds,19,24,7.96,ML,2021-11-05 04:21:21
53,Nome,64.5011,-165.4064,23.07,light snow,86,90,0.0,US,2021-11-05 04:21:22
54,Tual,-5.6667,132.75,83.98,broken clouds,73,64,5.08,ID,2021-11-05 04:17:39
55,Sarankhola,22.3082,89.7897,78.51,broken clouds,56,62,7.58,BD,2021-11-05 04:21:22
56,San Luis,-33.295,-66.3356,49.06,overcast clouds,55,99,4.47,AR,2021-11-05 04:21:23
57,Kalaleh,37.3807,55.4916,56.8,broken clouds,94,75,0.0,IR,2021-11-05 04:21:23
58,Chodziez,52.995,16.9198,45.57,light rain,90,100,25.43,PL,2021-11-05 04:21:24
59,Deputatskiy,69.3,139.9,-7.91,few clouds,95,19,3.2,RU,2021-11-05 04:21:24
60,Qingdao,36.0986,120.3719,67.6,clear sky,68,0,15.66,CN,2021-11-05 04:17:28
61,Soe,-9.8607,124.284,90.5,broken clouds,32,62,9.01,ID,2021-11-05 04:21:25
